Data,RSI_14
2021-07-05,50.0
2021-07-06,0.0
2021-07-07,2.277904328018238
2021-07-08,2.1970593206016673
2021-07-12,3.669795254619274
2021-07-13,4.954221700886606
2021-07-14,4.870301116706258
2021-07-15,4.63094473367417
2021-07-16,4.477602022506716
2021-07-19,4.296531845946319
2021-07-20,7.398662087497144
2021-07-21,10.822893421267693
2021-07-22,10.74509370082093
2021-07-23,10.541086856223899
2021-07-26,17.615853988691853
2021-07-27,16.995512682697367
2021-07-28,22.238216999645502
2021-07-29,23.217486154713953
2021-07-30,20.775595951737458
2021-08-02,19.58135217543345
2021-08-03,23.633455666331983
2021-08-04,22.03890886319529
2021-08-05,38.51325713480547
2021-08-06,38.74950755544567
2021-08-09,37.81077344776789
2021-08-10,38.61156168109529
2021-08-11,41.581900984415164
2021-08-12,44.724064777269724
2021-08-13,46.53076801511926
2021-08-16,42.27879976904918
2021-08-17,42.278799769049186
2021-08-18,40.76665866165394
2021-08-19,39.675106683890135
2021-08-20,39.44761020405604
2021-08-23,43.947286336795486
2021-08-24,48.973143025429124
2021-08-25,50.46778078289293
2021-08-26,48.3332809436028
2021-08-27,56.7716493515568
2021-08-30,54.842441339965596
2021-08-31,45.65343805518353
2021-09-01,44.438506451544825
2021-09-02,41.35685261869065
2021-09-03,39.539709274333326
2021-09-06,40.93707895853134
2021-09-08,31.98176655653623
2021-09-09,37.238873059904925
2021-09-10,36.294810731153966
2021-09-13,44.48005441673291
2021-09-14,42.311662345464384
2021-09-15,45.99732680530976
2021-09-16,44.35408758811279
2021-09-17,37.19845838467246
2021-09-20,35.77765911269381
2021-09-21,40.93997994520166
2021-09-22,46.149940234753466
2021-09-23,52.96940618896975
2021-09-24,53.407629687888246
2021-09-27,54.98848301444118
2021-09-28,53.5898117527795
2021-09-29,56.67539027784086
2021-09-30,55.15648330064713
2021-10-01,60.41229180237814
2021-10-04,65.0194637552708
2021-10-05,68.02505434964993
2021-10-06,60.83256091544365
2021-10-07,60.53288022359245
2021-10-08,63.44212056808431
2021-10-11,64.56722794690238
2021-10-13,66.4220432691481
2021-10-14,66.6102751010057
2021-10-15,65.81561315882617
2021-10-18,63.767448266540015
2021-10-19,49.50056069695327
2021-10-20,52.68220875575288
2021-10-21,45.48169202774945
2021-10-22,43.427081568313895
2021-10-25,56.57281360238215
2021-10-26,54.62020082053748
2021-10-27,54.11731512366309
2021-10-28,55.867636715277456
2021-10-29,44.272667727155195
2021-11-01,49.17315876475863
2021-11-03,42.89516842828477
2021-11-04,38.81420804060273
2021-11-05,38.211892763346654
2021-11-08,40.210256405136064
2021-11-09,43.87554139273516
2021-11-10,42.74671165094919
2021-11-11,43.00988319899064
2021-11-12,47.19241696947029
2021-11-16,49.199932377541
2021-11-17,44.631866693434226
2021-11-18,44.190014856267986
2021-11-19,41.32613716369252
2021-11-22,43.7423928717394
2021-11-23,54.57144182504701
2021-11-24,58.01251620043209
2021-11-25,64.34312987510606
2021-11-26,55.98917865269806
2021-11-29,60.822577495216066
2021-11-30,60.58373443396954
2021-12-01,61.39992329581776
2021-12-02,69.76140381722479
2021-12-03,71.171514455206
2021-12-06,71.61020188496872
2021-12-07,73.35669218963244
2021-12-08,73.35669218963244
2021-12-09,72.70825638892417
2021-12-10,74.1828472013716
2021-12-13,72.08562898684754
2021-12-14,67.94818019276623
2021-12-15,68.90906732526868
2021-12-16,70.94173399305676
2021-12-17,63.0836221766622
2021-12-20,55.084204627992506
2021-12-21,55.302203631852514
2021-12-22,55.014650266731586
2021-12-23,56.47693329650855
2021-12-27,59.763496869924246
2021-12-28,59.995868998955515
2021-12-29,57.15224748770623
2021-12-30,56.078838072033435
2022-01-03,61.52613036506969
2022-01-04,62.48065573994769
2022-01-05,49.83214301744801
2022-01-06,49.54788020488821
2022-01-07,51.05138756134233
2022-01-10,49.15822351330269
2022-01-11,57.14503303250213
2022-01-12,63.53443494444143
2022-01-13,67.16980922406054
2022-01-14,72.73212628765879
2022-01-17,72.86242928009148
2022-01-18,73.54319121154315
2022-01-19,71.60866527892941
2022-01-20,72.83970274222428
2022-01-21,72.99731395946878
2022-01-24,73.97322210746435
2022-01-25,78.78898327869965
2022-01-26,81.8832802656357
2022-01-27,81.8832802656357
2022-01-28,65.3090155384024
2022-01-31,63.464454585341564
2022-02-01,67.13028162691924
2022-02-02,61.95709280232395
2022-02-03,57.72975823103228
2022-02-04,61.32897723831442
2022-02-07,56.932687640489725
2022-02-08,54.06335467892033
2022-02-09,54.952438159163556
2022-02-10,58.61821558077255
2022-02-11,66.26909322500474
2022-02-14,59.53406255529143
2022-02-15,55.18526805449806
2022-02-16,57.94236270181097
2022-02-17,56.9364172687543
2022-02-18,58.30077707553127
2022-02-21,63.308384418865174
2022-02-22,62.159967121450826
2022-02-23,64.90254398246907
2022-02-24,57.34883318159464
2022-02-25,60.97228639207034
2022-03-02,64.54087977276441
2022-03-03,60.73501677873125
2022-03-04,60.73501677873125
2022-03-07,43.36464116628464
2022-03-08,47.68748149636011
2022-03-09,48.45779327822475
2022-03-10,55.20600901615597
2022-03-11,47.91653344917442
2022-03-14,44.80839642395655
2022-03-15,41.07802279058385
2022-03-16,39.84155431381953
2022-03-17,36.310446005668936
2022-03-18,40.51602380810167
2022-03-21,47.59640773245181
2022-03-22,46.80693325435157
2022-03-23,49.5124732176686
2022-03-24,51.63196640810426
2022-03-25,50.86542775589007
2022-03-28,46.582951864693825
2022-03-29,51.02357568157032
2022-03-30,55.047949282302945
2022-03-31,57.65466471125781
2022-04-01,54.46588416907991
2022-04-04,52.38572501806557
2022-04-05,50.118236206925076
2022-04-06,49.906749305193884
2022-04-07,60.06863980051367
2022-04-08,60.98193038721043
2022-04-11,58.80915053196482
2022-04-12,58.066467683233356
2022-04-13,62.18119415193045
2022-04-14,58.57074096262318
2022-04-18,53.76775611749713
2022-04-19,59.802551994858575
2022-04-20,60.775592723406994
2022-04-22,50.65227713720306
2022-04-25,47.67750356598444
2022-04-26,47.30352805052179
2022-04-27,47.30352805052179
2022-04-28,48.9295875703606
2022-04-29,49.17088577093488
2022-05-02,46.56462312829187
2022-05-03,49.20071040148034
2022-05-04,62.388683706143766
2022-05-05,61.86456085080701
2022-05-06,67.58346884849158
2022-05-09,59.45832522552796
2022-05-10,60.98888289436701
2022-05-11,66.56264543861602
2022-05-12,67.7721090007523
2022-05-13,69.66288394016632
2022-05-16,71.03541206516283
2022-05-17,66.70219443497987
2022-05-18,61.40749878370518
2022-05-19,64.44673884672568
2022-05-20,67.58826703840771
2022-05-23,72.95069092339125
2022-05-24,64.25041367143584
2022-05-25,66.30062719093596
2022-05-26,66.64397618586283
2022-05-27,54.325134113632515
2022-05-30,50.28857498170106
2022-05-31,50.76138025476699
2022-06-01,50.41711159856752
2022-06-02,48.64079878786449
2022-06-03,52.43105836378559
