Date,MA_17
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,8.373529097613167
2020-01-27,8.329770929673138
2020-01-28,8.302729326135973
2020-01-29,8.270607219022864
2020-01-30,8.241926585926729
2020-01-31,8.208329621483298
2020-02-03,8.171946441425996
2020-02-04,8.14506892596974
2020-02-05,8.113274574279785
2020-02-06,8.099835844600902
2020-02-07,8.089674893547507
2020-02-10,8.083283199983484
2020-02-11,8.07721928989186
2020-02-12,8.07934991051169
2020-02-13,8.080988827873679
2020-02-14,8.083119224099551
2020-02-17,8.07836639179903
2020-02-18,8.085741267484778
2020-02-19,8.127040975234088
2020-02-20,8.145396569195915
2020-02-21,8.15014934539795
2020-02-26,8.10540807948393
2020-02-27,8.053783332600313
2020-02-28,8.007239173440372
2020-03-02,7.972822778365192
2020-03-03,7.934473065768971
2020-03-04,7.896942699656767
2020-03-05,7.837287397945628
2020-03-06,7.734038044424618
2020-03-09,7.513936491573558
2020-03-10,7.307929263395422
2020-03-11,7.080616670496323
2020-03-12,6.804957109339097
2020-03-13,6.576169462764964
2020-03-16,6.303132127313053
2020-03-17,6.0155087358811326
2020-03-18,5.710185387555291
2020-03-19,5.432723073398366
2020-03-20,5.19983824561624
2020-03-23,4.9736729229197785
2020-03-24,4.775532273685231
2020-03-25,4.5754249376409195
2020-03-26,4.384331576964435
2020-03-27,4.161607840481927
2020-03-30,3.9664172144497143
2020-03-31,3.8215402294607723
2020-04-01,3.7928598908817066
2020-04-02,3.7592628703397866
2020-04-03,3.7509045600891118
2020-04-06,3.802857006297392
2020-04-07,3.8192458433263443
2020-04-08,3.8885704910053924
2020-04-09,3.951175633598776
2020-04-13,4.043608384973862
2020-04-14,4.117685710682588
2020-04-15,4.189468692330753
2020-04-16,4.258629350101247
2020-04-17,4.305829104255228
2020-04-20,4.332542910295374
2020-04-22,4.371220406363992
2020-04-23,4.431039487614351
2020-04-24,4.47315873819239
2020-04-27,4.5134751516229965
2020-04-28,4.561822077807258
2020-04-29,4.6059079731211945
2020-04-30,4.650321595809039
2020-05-04,4.676707576302921
2020-05-05,4.701946286594167
2020-05-06,4.701290635501637
2020-05-07,4.711451782899744
2020-05-08,4.736854497124167
2020-05-11,4.76012659072876
2020-05-12,4.788970835068646
2020-05-13,4.819617916555965
2020-05-14,4.840431718265309
2020-05-15,4.8600982217227715
2020-05-18,4.8894341693204995
2020-05-19,4.917786822599523
2020-05-20,4.97268923591165
2020-05-21,5.017594533808091
2020-05-22,5.040866655461929
2020-05-25,5.061844292808981
2020-05-26,5.088394136989818
2020-05-27,5.130185519947725
2020-05-28,5.1601769783917595
2020-05-29,5.210326727698831
2020-06-01,5.257690317490521
2020-06-02,5.305545610540054
2020-06-03,5.359956348643584
2020-06-04,5.413875439587762
2020-06-05,5.487788873560288
2020-06-08,5.571863426881678
2020-06-09,5.646760351517621
2020-06-10,5.693632378297694
2020-06-12,5.725098890416763
2020-06-15,5.748043200548957
2020-06-16,5.783770813661463
2020-06-17,5.829167758717256
2020-06-18,5.863912049461813
2020-06-19,5.893411832697251
2020-06-22,5.910128481247845
2020-06-23,5.9409394825206085
2020-06-24,5.9517561407650215
2020-06-25,5.970439293805291
2020-06-26,5.961261524873621
2020-06-29,5.964375439812155
2020-06-30,5.966342168695786
2020-07-01,5.959950559279498
2020-07-02,5.952247872072108
2020-07-03,5.956508804770077
2020-07-06,5.974700338700238
2020-07-07,6.001414074617274
2020-07-08,6.033372233895695
2020-07-09,6.045991589041317
2020-07-10,6.063527612125172
2020-07-13,6.072705353007597
2020-07-14,6.096141366397633
2020-07-15,6.1353106218225815
2020-07-16,6.1528465888079475
2020-07-17,6.181363161872415
2020-07-20,6.202177103827982
2020-07-21,6.243640843559714
2020-07-22,6.2664212900049545
2020-07-23,6.283145287457635
2020-07-24,6.299869397107293
2020-07-27,6.318560207591338
2020-07-28,6.332006482517018
2020-07-29,6.342830770155963
2020-07-30,6.352507675395293
2020-07-31,6.345140064463896
2020-08-03,6.3395750101874855
2020-08-04,6.3276183745440315
2020-08-05,6.344342540292179
2020-08-06,6.349594564998851
2020-08-07,6.340588205000934
2020-08-10,6.3525597908917595
2020-08-11,6.358139486873851
2020-08-12,6.3702747962054085
2020-08-13,6.361596191630644
2020-08-14,6.3553758509018845
2020-08-17,6.355867470011992
2020-08-18,6.360620246214025
2020-08-19,6.355539546293371
2020-08-20,6.354392472435446
2020-08-21,6.344395020428826
2020-08-24,6.34685334037332
2020-08-25,6.357834030600155
2020-08-26,6.364717427422018
2020-08-27,6.370781337513643
2020-08-28,6.360292350544649
2020-08-31,6.338494805728688
2020-09-01,6.339805911569035
2020-09-02,6.329152864568374
2020-09-03,6.325875057893641
2020-09-04,6.316697148715749
2020-09-08,6.307191512163947
2020-09-09,6.3081750028273635
2020-09-10,6.300308283637552
2020-09-11,6.28162462571088
2020-09-14,6.26179380977855
2020-09-15,6.244421313790714
2020-09-16,6.230818355784697
2020-09-17,6.217379233416389
2020-09-18,6.197384469649371
2020-09-21,6.175750928766587
2020-09-22,6.153625712675207
2020-09-23,6.115766721613267
2020-09-24,6.091346965116613
2020-09-25,6.046440797693589
2020-09-28,5.994487285614014
2020-09-29,5.935978047987994
2020-09-30,5.8817300235523895
2020-10-01,5.84223217122695
2020-10-02,5.781428477343391
2020-10-05,5.74717518862556
2020-10-06,5.715216440313003
2020-10-07,5.684240986319149
2020-10-08,5.664082274717444
2020-10-09,5.632451225729549
2020-10-13,5.599345263312845
2020-10-14,5.571811507729923
2020-10-15,5.552963986116297
2020-10-16,5.528871956993552
2020-10-19,5.51723575592041
2020-10-20,5.51363016577328
2020-10-21,5.514121728784898
2020-10-22,5.533952713012695
2020-10-23,5.554603015675264
2020-10-26,5.565092086791992
2020-10-27,5.565583762000589
2020-10-28,5.559847579282873
2020-10-29,5.5477196188534
2020-10-30,5.531494449166691
2020-11-03,5.529199936810662
2020-11-04,5.517399787902832
2020-11-05,5.518874813528622
2020-11-06,5.512646927553065
2020-11-09,5.53952517228968
2020-11-10,5.5941009521484375
2020-11-11,5.652282322154326
2020-11-12,5.691452362958123
2020-11-13,5.731605754179113
2020-11-16,5.782903811510871
2020-11-17,5.829612731933594
2020-11-18,5.878452329074635
2020-11-19,5.936961426454432
2020-11-23,6.022512744454777
2020-11-24,6.146250668693991
