Data,Trend,Basis,Fib_0_5,Fib_0_618,Fib_0_786
2021-11-26,1.0,7.304843299156374,8.115143299156374,7.9239124991563745,7.651651699156374
2021-11-29,1.0,7.30669186616481,8.12209186616481,7.9296574661648105,7.65568306616481
2021-11-30,1.0,7.316470947503161,8.128870947503161,7.937144547503161,7.664178147503161
2021-12-01,1.0,7.318882238028129,8.136082238028129,7.943223038028129,7.668643838028129
2021-12-02,1.0,7.316021415647847,8.149421415647847,7.952739015647847,7.672716615647847
2021-12-03,1.0,7.327527201491369,8.163927201491369,7.966536801491369,7.685506401491369
2021-12-06,1.0,7.341387929476453,8.178687929476453,7.981085129476453,7.699752329476453
2021-12-07,1.0,7.35550105018169,8.19490105018169,7.99680265018169,7.71476425018169
2021-12-08,1.0,7.369452039679874,8.210952039679874,8.012358039679874,7.729614039679874
2021-12-09,1.0,7.384842519283075,8.226642519283075,8.027977719283076,7.7451329192830745
2021-12-10,1.0,7.4003760940902445,8.243376094090245,8.044428094090245,7.7611800940902445
2021-12-13,1.0,7.417542333149341,8.259342333149341,8.060677533149342,7.77783273314934
2021-12-14,1.0,7.429148909817848,8.273948909817848,8.074576109817848,7.790723309817848
2021-12-15,1.0,7.4412094207196695,8.289009420719669,8.088928620719669,7.804067820719669
2021-12-16,1.0,7.454719326512471,8.305219326512471,8.104501326512471,7.818733326512471
2021-12-17,1.0,7.465767133247346,8.318967133247346,8.117611933247346,7.830936733247346
2021-12-20,1.0,7.468177461914872,8.329777461914873,8.126439861914871,7.8369422619148725
2021-12-21,1.0,7.479279687295723,8.340579687295723,8.137312887295723,7.847916087295722
2021-12-22,1.0,7.489273890422764,8.351173890422764,8.147765490422763,7.858167090422764
2021-12-23,1.0,7.506062151518536,8.362262151518536,8.160198951518536,7.872515751518536
2021-12-27,1.0,7.52083953000335,8.37463953000335,8.17314273000335,7.88626593000335
2021-12-28,1.0,7.536493134703315,8.386993134703316,8.186275134703315,7.900507134703315
2021-12-29,1.0,7.550623203356283,8.398423203356282,8.198342403356282,7.913481603356282
2021-12-30,1.0,7.58173897132272,8.40943897132272,8.21410177132272,7.93599457132272
2022-01-03,1.0,7.5917445816094915,8.422444581609492,8.226399381609491,7.947284181609492
2022-01-04,1.0,7.606220135793398,8.435720135793398,8.239958135793398,7.961246135793398
2022-01-05,1.0,7.607462934435464,8.445062934435464,8.247389334435464,7.965955734435464
2022-01-06,1.0,7.61721230509111,8.45421230509111,8.256680305091109,7.97544830509111
2022-01-07,1.0,7.627970182040198,8.463770182040198,8.2665213820402,7.9856925820401985
2022-01-10,1.0,7.636232480219798,8.472632480219797,8.275242080219797,7.994211680219798
2022-01-11,1.0,7.645106155417599,8.4842061554176,8.2861785554176,8.004240955417599
2022-01-12,1.0,7.659464093863422,8.498564093863422,8.300536493863422,8.018598893863421
2022-01-13,1.0,7.670278452924787,8.514778452924787,8.315476452924788,8.031724452924788
2022-01-14,1.0,7.68293066839554,8.53463066839554,8.33362946839554,8.04745826839554
