Date,MA_200
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-19,6.08009200334549
2020-10-20,6.0654376912117005
2020-10-21,6.051103785037994
2020-10-22,6.037215683460236
2020-10-23,6.0231186032295225
2020-10-26,6.008840432167053
2020-10-27,5.994186120033264
2020-10-28,5.978027300834656
2020-10-29,5.962648591995239
2020-10-30,5.947242023944855
2020-11-03,5.9334513950347905
2020-11-04,5.919800074100494
2020-11-05,5.905925869941711
2020-11-06,5.8916476893424985
2020-11-09,5.880489985942841
2020-11-10,5.871839792728424
2020-11-11,5.862409491539001
2020-11-12,5.852115480899811
2020-11-13,5.8445936512947085
2020-11-16,5.836918616294861
2020-11-17,5.829731152057648
2020-11-18,5.822223291397095
2020-11-19,5.815774135589599
2020-11-23,5.8114842557907105
2020-11-24,5.808127748966217
2020-11-25,5.805147361755371
2020-11-26,5.800467436313629
2020-11-27,5.795689985752106
2020-11-30,5.789798097610474
2020-12-01,5.784393796920776
2020-12-02,5.778515853881836
2020-12-03,5.7742260074615475
2020-12-04,5.771593916416168
2020-12-07,5.768307075500489
2020-12-08,5.764003305435181
2020-12-09,5.758975164890289
2020-12-10,5.756050534248352
2020-12-11,5.753864216804504
2020-12-14,5.755829184055329
2020-12-15,5.759382240772247
2020-12-16,5.763353209495545
2020-12-17,5.7657361054420475
2020-12-18,5.768592646121979
2020-12-21,5.7687744975090025
2020-12-22,5.771547420024872
2020-12-23,5.778680613040924
2020-12-28,5.795579082965851
2020-12-29,5.81049941778183
2020-12-30,5.827899372577667
2021-01-04,5.850620787143708
2021-01-05,5.871015841960907
2021-01-06,5.894712430238724
2021-01-07,5.919788160324097
2021-01-08,5.947413170337677
2021-01-11,5.97339437007904
2021-01-12,5.999347705841064
2021-01-13,6.023935816287994
2021-01-14,6.0465040254592894
2021-01-15,6.065728870630264
2021-01-18,6.084786549806595
2021-01-19,6.106226350069046
2021-01-20,6.126886030435562
2021-01-21,6.145776535272598
2021-01-22,6.163594372272492
2021-01-26,6.1796012473106385
2021-01-27,6.196402170658112
2021-01-28,6.213105592727661
2021-01-29,6.227440798282624
2021-02-01,6.241664581298828
2021-02-02,6.258159067630768
2021-02-03,6.274890384674072
2021-02-04,6.2917331385612485
2021-02-05,6.309091310501099
2021-02-08,6.326351964473725
2021-02-09,6.342247407436371
2021-02-10,6.358755803108215
2021-02-11,6.3745398163795475
2021-02-12,6.390546734333038
2021-02-17,6.4095487308502195
2021-02-18,6.427408421039582
2021-02-19,6.441451117992401
2021-02-22,6.446285603046417
2021-02-23,6.454658498764038
2021-02-24,6.464438376426696
2021-02-25,6.4717525243759155
2021-02-26,6.478662667274475
2021-03-01,6.485015575885773
2021-03-02,6.489905786514282
2021-03-03,6.4941412496566775
2021-03-04,6.49982549905777
2021-03-05,6.506512749195099
2021-03-08,6.51166761636734
2021-03-09,6.517853353023529
2021-03-10,6.523147563934327
2021-03-11,6.529570164680481
2021-03-12,6.534961915016174
2021-03-15,6.541175572872162
2021-03-16,6.547598178386688
2021-03-17,6.55400687456131
2021-03-18,6.558980708122253
2021-03-19,6.5646510887146
2021-03-22,6.569875686168671
2021-03-23,6.573303215503692
2021-03-24,6.576772546768188
2021-03-25,6.579280681610108
2021-03-26,6.582053503990173
2021-03-29,6.585397491455078
2021-03-30,6.587808134555817
2021-03-31,6.589995894432068
2021-04-01,6.593019468784332
2021-04-05,6.596697795391083
