Data,TPF,Trend,Lower_Band,Upper_Band
2021-07-05,8.14,1.0,,
2021-07-06,8.138976792869551,1.0,,
2021-07-07,8.137373572871475,-1.0,,
2021-07-08,8.134803885057055,-1.0,,
2021-07-12,8.131584487106712,-1.0,,
2021-07-13,8.127962913115054,-1.0,,
2021-07-14,8.123815435493599,-1.0,,
2021-07-15,8.118694603048892,-1.0,,
2021-07-16,8.112398851635412,-1.0,,
2021-07-19,8.104693848473335,-1.0,,
2021-07-20,8.096092537632495,-1.0,,
2021-07-21,8.087076498860661,-1.0,,
2021-07-22,8.077664350135189,-1.0,,
2021-07-23,8.067780554098572,-1.0,,
2021-07-26,8.058166793090907,-1.0,,
2021-07-27,8.048539521803791,-1.0,,
2021-07-28,8.039426407206566,-1.0,,
2021-07-29,8.030883420772902,-1.0,,
2021-07-30,8.022058475185549,-1.0,,
2021-08-02,8.012580657452187,-1.0,,
2021-08-03,8.002934352244868,-1.0,,
2021-08-04,7.992674768557853,-1.0,,
2021-08-05,7.983740981187587,-1.0,,
2021-08-06,7.976023305588477,-1.0,,
2021-08-09,7.969205173749791,-1.0,,
2021-08-10,7.9632864927288045,-1.0,,
2021-08-11,7.958512442738923,-1.0,,
2021-08-12,7.955124520527435,-1.0,,
2021-08-13,7.953174220765915,-1.0,,
2021-08-16,7.951864870716233,-1.0,,
2021-08-17,7.951119122301764,-1.0,,
2021-08-18,7.950650660073375,-1.0,,
2021-08-19,7.950270686683757,-1.0,,
2021-08-20,7.949938134925991,-1.0,,
2021-08-23,7.950051094430959,-1.0,,
2021-08-24,7.951048730396433,1.0,,
2021-08-25,7.952970616962875,1.0,,
2021-08-26,7.955476360828874,1.0,,
2021-08-27,7.959414224416413,1.0,,
2021-08-30,7.964404064767622,1.0,,
2021-08-31,7.969273590133568,1.0,,
2021-09-01,7.973867951913617,1.0,,
2021-09-02,7.977804772002227,1.0,,
2021-09-03,7.980907308825897,1.0,,
2021-09-06,7.9833959311176494,1.0,,
2021-09-08,7.983945614244851,1.0,,
2021-09-09,7.983297021538723,-1.0,,
2021-09-10,7.981449327283084,-1.0,,
2021-09-13,7.9793977294582845,-1.0,,
2021-09-14,7.9768644246046385,-1.0,,
2021-09-15,7.974321531410718,-1.0,,
2021-09-16,7.971561108332729,-1.0,,
2021-09-17,7.967534123493724,-1.0,,
2021-09-20,7.962165880570977,-1.0,,
2021-09-21,7.956170486180951,-1.0,,
2021-09-22,7.950235304416346,-1.0,,
2021-09-23,7.9452702724032696,-1.0,,
2021-09-24,7.941229577387983,-1.0,,
2021-09-27,7.938225390714646,-1.0,,
2021-09-28,7.935980347547762,-1.0,,
2021-09-29,7.934808070690941,-1.0,,
2021-09-30,7.934420910065204,-1.0,,
2021-10-01,7.935433491808318,1.0,,
2021-10-04,7.9384090437636905,1.0,,
2021-10-05,7.943647133350155,1.0,,
2021-10-06,7.950131006895728,1.0,,
2021-10-07,7.957651325352435,1.0,,
2021-10-08,7.966518224903017,1.0,,
2021-10-11,7.976719219180451,1.0,,
2021-10-13,7.988363296303658,1.0,,
2021-10-14,8.001262070711494,1.0,,
2021-10-15,8.01515417476676,1.0,,
2021-10-18,8.02971533871141,1.0,,
2021-10-19,8.04348216570537,1.0,,
2021-10-20,8.05688493506693,1.0,,
2021-10-21,8.069060153500308,1.0,,
2021-10-22,8.079846926588083,1.0,,
2021-10-25,8.091124508365125,1.0,,
2021-10-26,8.102547542765185,1.0,,
2021-10-27,8.114000124525415,1.0,,
2021-10-28,8.125691040817486,1.0,,
2021-10-29,8.13597245116324,1.0,,
2021-11-01,8.145673638067297,1.0,,
2021-11-03,8.153784003312499,1.0,,
2021-11-04,8.15967428887745,1.0,,
2021-11-05,8.163484181374525,1.0,,
2021-11-08,8.165714151476342,1.0,,
2021-11-09,8.167023047091174,1.0,,
2021-11-10,8.167337759068465,1.0,,
2021-11-11,8.166814590479104,-1.0,,
