Data,MACD_Linha_12_26,MACD_Sinal_9,MACD_Hist_12_26_9
2021-07-05,0.0,0.0,0.0
2021-07-06,-0.02632478632478552,-0.005264957264957105,-0.021059829059828415
2021-07-07,-0.0386724133732681,-0.011946448486619304,-0.026725964886648794
2021-07-08,-0.05987158085144273,-0.02153147495958399,-0.03834010589185874
2021-07-12,-0.0710119931964357,-0.03142757860695433,-0.039584414589481365
2021-07-13,-0.07494237901434708,-0.04013053868843289,-0.034811840325914195
2021-07-14,-0.08195402170343158,-0.048495235291432626,-0.03345878641199895
2021-07-15,-0.10007477854868707,-0.05881114394288352,-0.041263634605803554
2021-07-16,-0.12190642817333153,-0.07143020078897312,-0.050476227384358405
2021-07-19,-0.14799212029322817,-0.08674258468982413,-0.06124953560340404
2021-07-20,-0.15876590049778283,-0.10114724785141588,-0.05761865264636695
2021-07-21,-0.156622669598244,-0.11224233220078152,-0.044380337397462485
2021-07-22,-0.15475406795788338,-0.1207446793522019,-0.03400938860568148
2021-07-23,-0.15551508869027408,-0.12769876121981635,-0.02781632747045773
2021-07-26,-0.13758694152972328,-0.12967639728179775,-0.007910544247925533
2021-07-27,-0.12915221721271397,-0.129571561267981,0.0004193440552670291
2021-07-28,-0.10830846206733291,-0.12531894142785138,0.01701047936051847
2021-07-29,-0.0883504378130624,-0.1179252407048936,0.029574802891831203
2021-07-30,-0.09244770726839935,-0.11282973401759476,0.02038202674919541
2021-08-02,-0.10577237470755652,-0.11141826215558712,0.005645887448030601
2021-08-03,-0.1054338962088055,-0.1102213889662308,0.0047874927574252935
2021-08-04,-0.11673071338261654,-0.11152325384950795,-0.005207459533108583
2021-08-05,-0.07718570446315187,-0.10465574397223674,0.027470039509084873
2021-08-06,-0.044525817652025346,-0.09262975870819448,0.048103941056169136
2021-08-09,-0.023216495305391938,-0.07874710602763398,0.05553061072224204
2021-08-10,-0.0038634194462874305,-0.06377036871136467,0.05990694926507724
2021-08-11,0.02011820317205615,-0.046992654334680514,0.06711085750673666
2021-08-12,0.04825060604201692,-0.02794400225934103,0.07619460830135795
2021-08-13,0.07532584354934269,-0.007290033097604289,0.08261587664694697
2021-08-16,0.07972580634226922,0.010113134790370414,0.0696126715518988
2021-08-17,0.08226451444108829,0.02454341072051399,0.0577211037205743
2021-08-18,0.07773199782972462,0.03518112814235612,0.0425508696873685
2021-08-19,0.0693064421048124,0.04200619093484738,0.027300251169965026
2021-08-20,0.0611176854302542,0.045828489833928746,0.015289195596325453
2021-08-23,0.064375865409672,0.0495379649490774,0.014837900460594598
2021-08-24,0.07895847518944699,0.05542206699715131,0.023536408192295674
2021-08-25,0.09347238911731104,0.06303213142118326,0.03044025769612778
2021-08-26,0.09819443120760507,0.07006459137846763,0.028129839829137443
2021-08-27,0.12470663590845987,0.08099300028446609,0.04371363562399379
2021-08-30,0.13927082322783768,0.09264856487314041,0.04662225835469727
2021-08-31,0.12276959308515245,0.09867277051554282,0.024096822569609627
2021-09-01,0.10445359120031306,0.09982893465249687,0.004624656547816186
2021-09-02,0.07854272258739847,0.0955716922394772,-0.01702896965207873
2021-09-03,0.05096534435691247,0.08665042266296426,-0.03568507830605179
2021-09-06,0.031969217887365176,0.07571418170784444,-0.043744963820479266
2021-09-08,-0.019175544650170018,0.05673623643624155,-0.07591178108641157
2021-09-09,-0.04626417006105932,0.03613615513678138,-0.0824003251978407
2021-09-10,-0.07094882905749866,0.014719158297925373,-0.08566798735542404
2021-09-13,-0.06794166640163102,-0.0018130066419859044,-0.06612865975964512
2021-09-14,-0.07278857125641736,-0.016008119564872195,-0.056780451691545164
2021-09-15,-0.06538613407704474,-0.025883722467306705,-0.03950241160973804
2021-09-16,-0.06442540826326848,-0.03359205962649906,-0.03083334863676942
2021-09-17,-0.09085873808708111,-0.045045395318615476,-0.04581334276846564
2021-09-20,-0.11691495104776539,-0.05941930646444546,-0.05749564458331993
2021-09-21,-0.1224357452357916,-0.07202259421871468,-0.05041315101707691
2021-09-22,-0.11020917948298425,-0.0796599112715686,-0.030549268211415653
2021-09-23,-0.07624011310134726,-0.07897595163752433,0.0027358385361770654
2021-09-24,-0.047161897410876286,-0.07261314079219473,0.025451243381318447
2021-09-27,-0.0182583164863086,-0.06174217593101751,0.04348385944470891
2021-09-28,0.0006064072179690072,-0.049272459301220206,0.04987886651918921
2021-09-29,0.025749921149034627,-0.034267983211169244,0.06001790436020387
2021-09-30,0.04116720504204707,-0.019180945560525985,0.06034815060257306
2021-10-01,0.07112471002897003,-0.001119814442626781,0.07224452447159681
2021-10-04,0.11293045085884934,0.021690238617668445,0.0912402122411809
2021-10-05,0.15875625406335558,0.049103441706805875,0.10965281235654971
2021-10-06,0.17450289470434122,0.07418333230631295,0.10031956239802826
2021-10-07,0.18405364854323913,0.09615739555369819,0.08789625298954094
2021-10-08,0.20140476737949164,0.11720686991885688,0.08419789746063476
2021-10-11,0.21749006256596282,0.1372635084482781,0.08022655411768473
2021-10-13,0.2355911905603083,0.15692904487068415,0.07866214568962415
2021-10-14,0.2478859069027699,0.17512041727710131,0.07276548962566859
2021-10-15,0.25309816720637635,0.1907159672629563,0.062382199943420036
2021-10-18,0.2503089333450266,0.20263456047937037,0.047674372865656206
2021-10-19,0.21096911840129096,0.2043014720637545,0.0066676463375364425
2021-10-20,0.18731576916159653,0.20090433148332293,-0.013588562321726394
2021-10-21,0.14431310785800022,0.18958608675825842,-0.04527297890025819
2021-10-22,0.10179748310038939,0.17202836602668461,-0.07023088292629523
2021-10-25,0.11199980007832622,0.16002265283701295,-0.04802285275868673
2021-10-26,0.11233495098607271,0.15048511246682492,-0.038150161480752204
2021-10-27,0.10972192162905259,0.14233247429927046,-0.03261055267021787
2021-10-28,0.11280605051880599,0.13642718954317756,-0.023621139024371574
2021-10-29,0.07325309109603495,0.12379236985374904,-0.05053927875771409
2021-11-01,0.05897936971242679,0.11082976982548459,-0.051850400113057804
2021-11-03,0.020001617976410202,0.09266413945566973,-0.07266252147925953
2021-11-04,-0.03150518601022867,0.06783027436249005,-0.09933546037271872
2021-11-05,-0.07469136935007015,0.039325945619978014,-0.11401731497004816
2021-11-08,-0.10129374809951841,0.01120200687607873,-0.11249575497559713
2021-11-09,-0.10901591095906404,-0.012841576690949824,-0.09617433426811423
2021-11-10,-0.11861001677826266,-0.033995264708412395,-0.08461475206985027
2021-11-11,-0.12397736445110219,-0.05199168465695035,-0.07198567979415184
2021-11-12,-0.11400617115260125,-0.06439458195608053,-0.04961158919652073
2021-11-16,-0.09851300066343249,-0.07121826569755092,-0.02729473496588157
2021-11-17,-0.10120623745210722,-0.07721586004846218,-0.02399037740364504
2021-11-18,-0.1037584174152908,-0.0825243715218279,-0.021234045893462894
2021-11-19,-0.11494592687459182,-0.08900868259238069,-0.025937244282211128
2021-11-22,-0.11601937813900509,-0.09441082170170557,-0.021608556437299517
2021-11-23,-0.08123624875198843,-0.09177590711176214,0.010539658359773718
2021-11-24,-0.039497486425956296,-0.08132022297460098,0.041822736548644684
2021-11-25,0.023169606409833676,-0.06042225709771406,0.08359186350754774
2021-11-26,0.044881207846311,-0.03936156410890905,0.08424277195522005
2021-11-29,0.08531187896780779,-0.014426875493565684,0.09973875446137347
2021-11-30,0.11521839475852325,0.011502178556852103,0.10371621620167114
2021-12-01,0.1413249994975896,0.0374667427449996,0.10385825675258999
2021-12-02,0.20962704025329515,0.0718988022466587,0.13772823800663644
2021-12-03,0.2711214933780983,0.11174334047294664,0.15937815290515167
2021-12-06,0.31940208778211066,0.15327508993477945,0.1661269978473312
2021-12-07,0.36635238724072927,0.19589054939596942,0.17046183784475985
2021-12-08,0.39896185391354244,0.23650481029948406,0.16245704361405838
2021-12-09,0.41836856593453753,0.2728775614264948,0.14549100450804275
2021-12-10,0.438378171467404,0.30597768343467663,0.13240048803272736
2021-12-13,0.44427312541517594,0.3336367718307765,0.11063635358439944
2021-12-14,0.4342560879051369,0.3537606350456486,0.08049545285948834
2021-12-15,0.42624551905362296,0.3682576118472435,0.057987907206379474
2021-12-16,0.4254823039243316,0.37970255026266114,0.045779753661670475
2021-12-17,0.40168796382104865,0.3840996329743387,0.017588330846709965
2021-12-20,0.35613185161681393,0.37850607670283376,-0.022374225086019828
2021-12-21,0.3171789790737023,0.3662406571770075,-0.049061678103305195
2021-12-22,0.28224805068153636,0.3494421358779133,-0.06719408519637693
2021-12-23,0.25645033697620256,0.33084377609757115,-0.07439343912136859
2021-12-27,0.2444840332244329,0.31357182752294355,-0.06908779429851064
2021-12-28,0.23312030198615652,0.2974815224155862,-0.06436122042942966
2021-12-29,0.2151786857511997,0.2810209550827089,-0.06584226933150922
